tipo,comuna,timestamp,descripcion
Bache,Desconocida,2025-06-03T06:59:00+00:00,Bache - Pasaje El Pino
Bache,Desconocida,2025-06-03T06:59:00+00:00,Bache - Av. Las Acacias
Bache,Desconocida,2025-06-03T06:59:37+00:00,Bache - Santa Mercedes
Bache,Desconocida,2025-06-03T06:59:37+00:00,Bache - Roberto Simpson Claro
Bache,Desconocida,2025-06-03T07:05:04+00:00,Bache - Av. Ochagavía
Bache,Desconocida,2025-06-03T07:05:04+00:00,"Bache - Sánchez lateral, Martín de Solís"
Bache,Desconocida,2025-06-03T07:05:04+00:00,Bache - Quilín
Bache,Desconocida,2025-06-03T07:05:04+00:00,Bache - Anique
Hazard,Desconocida,2025-06-03T07:14:07+00:00,Bache - Quilín
Hazard,Desconocida,2025-06-03T07:15:25+00:00,Bache - Av. Calera de Tango
Hazard,Desconocida,2025-06-03T07:15:25+00:00,Bache - Martín de Solís
Hazard,Desconocida,2025-06-03T07:15:25+00:00,Bache - Sánchez lateral
Police,Desconocida,2025-06-03T07:15:25+00:00,Policía - Av. La Florida
Hazard,Desconocida,2025-06-03T07:16:35+00:00,Bache - Anique
Hazard,Desconocida,2025-06-03T07:17:14+00:00,Bache - Siglo XX
Hazard,Desconocida,2025-06-03T07:17:14+00:00,Bache - La Verbena
Hazard,Desconocida,2025-06-03T07:17:56+00:00,Bache - Av. Walker Martínez
Hazard,Desconocida,2025-06-03T07:17:56+00:00,Bache - Alerce Andino Oriente
Hazard,Desconocida,2025-06-03T07:25:57+00:00,Camino en construcción - Termas de Puyehue
Road-closed,Desconocida,2025-06-03T07:25:57+00:00,Vía cerrada - Av. Claudio Arrau
Road-closed,Desconocida,2025-06-03T07:25:57+00:00,Vía cerrada - Av. Hugo Bravo
Hazard,Desconocida,2025-06-03T07:25:57+00:00,Bache - Av. La Farfana
Hazard,Desconocida,2025-06-03T07:25:57+00:00,Bache - Av. Carlos Valdovinos
Hazard,Desconocida,2025-06-03T07:25:57+00:00,Bache - Av. El Parrón
Hazard,Desconocida,2025-06-03T07:25:57+00:00,Bache - Av. Suiza
Hazard,Desconocida,2025-06-03T07:25:57+00:00,Bache - Los Gobelinos
